ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688256.SH,20260123,896.59,907.32,885.19,895.25,907.32,-12.07000000000005,-1.33,63511.27,8480917.29
688256.SH,20260126,888.55,891.85,869.1,871.78,895.25,-23.470000000000027,-2.62,67870.46,8871288.504
688256.SH,20260127,871.78,883.77,856.06,872.38,871.78,0.6000000000000227,0.07,63383.8,8235075.32
688256.SH,20260128,878.41,878.49,857.7,860.23,872.38,-12.149999999999977,-1.39,69812.86,9013149.13
688256.SH,20260129,859.79,866.5,838.26,839.6,860.23,-20.629999999999995,-2.4,71581.57,9051850.983
688256.SH,20260130,839.59,856.94,831.61,844.21,839.6,4.610000000000014,0.55,63495.43,8018391.889
688256.SH,20260202,837.58,854.08,826.85,832.89,844.21,-11.32000000000005,-1.34,66690.29,8357731.143
688256.SH,20260203,841.6,843.47,712.85,756.44,832.89,-76.44999999999993,-9.18,226144.55,25622515.727
688256.SH,20260204,737.66,743.43,713.5,716.2,756.44,-40.24000000000001,-5.32,117351.29,12657885.6
688256.SH,20260205,704.14,719.54,695.44,709.72,716.2,-6.480000000000018,-0.9,79421.15,8357564.076
688256.SH,20260206,699.13,712.63,681.04,695.41,709.72,-14.31000000000006,-2.02,79813.48,8272185.155
688256.SH,20260209,710.84,741.64,708.15,728.81,695.41,33.39999999999998,4.8,96536.39,10462460.032
688256.SH,20260210,741.01,769.85,732.01,738.26,728.81,9.450000000000045,1.3,96601.2,10796371.349
688256.SH,20260211,730.2,739.67,719.55,723.51,738.26,-14.75,-2.0,55273.11,5983828.108
688256.SH,20260212,724.24,751.07,711.73,746.04,723.51,22.529999999999973,3.11,86857.14,9502364.159
688256.SH,20260213,737.66,766.5,733.04,751.53,746.04,5.490000000000009,0.74,70569.45,7918250.312
688256.SH,20260224,761.98,765.83,717.68,718.58,751.53,-32.94999999999993,-4.38,81877.09,8894584.851
688256.SH,20260225,724.24,743.7,720.23,726.03,718.58,7.449999999999932,1.04,57606.23,6266293.048
688256.SH,20260226,734.41,797.26,716.7,783.8,726.03,57.76999999999998,7.96,140838.47,16034677.283
688256.SH,20260227,767.85,812.85,765.38,789.97,783.8,6.170000000000073,0.79,121511.65,14322223.946
688256.SH,20260302,771.19,810.45,766.54,799.29,789.97,9.319999999999936,1.18,88219.75,10389211.104
688256.SH,20260303,802.71,803.97,757.77,759.82,799.29,-39.469999999999914,-4.94,75371.16,8732618.337
688256.SH,20260304,752.41,776.56,744.37,749.11,759.82,-10.710000000000036,-1.41,58986.95,6656512.148
688256.SH,20260305,770.31,802.05,752.43,783.26,749.11,34.14999999999998,4.56,85399.45,9922297.387
688256.SH,20260306,777.9,786.84,769.89,774.46,783.26,-8.799999999999955,-1.12,45234.67,5238659.046
688256.SH,20260309,751.07,760.29,732.96,755.09,774.46,-19.370000000000005,-2.5,60258.4,6690959.588
688256.SH,20260310,770.51,777.9,761.14,769.25,755.09,14.159999999999968,1.88,50202.93,5750878.845
688256.SH,20260311,774.54,777.23,733.2,736.99,769.25,-32.25999999999999,-4.19,76210.59,8594431.103
688256.SH,20260312,736.99,751.88,722.81,736.99,736.99,0.0,0.0,62625.27,6863561.917
688256.SH,20260313,745.11,755.8,727.58,735.05,736.99,-1.9400000000000546,-0.26,92906.21,10301354.225
688256.SH,20260316,729.65,733.04,702.09,730.93,735.05,-4.1200000000000045,-0.56,66956.72,7211654.65
688256.SH,20260317,730.87,751.07,718.22,724.24,730.93,-6.689999999999941,-0.92,55320.89,6045178.216
688256.SH,20260318,726.42,729.61,702.9,714.86,724.24,-9.379999999999995,-1.3,68393.17,7258997.345
688256.SH,20260319,700.78,706.0,692.18,695.43,714.86,-19.430000000000064,-2.72,48852.75,5089266.821
688256.SH,20260320,696.88,714.63,671.28,687.37,695.43,-8.059999999999945,-1.16,101951.62,10508394.228
688256.SH,20260323,672.28,684.35,649.14,651.35,687.37,-36.01999999999998,-5.24,81515.2,8094829.806
688256.SH,20260324,660.54,695.95,650.5,689.71,651.35,38.360000000000014,5.89,90596.06,9111327.946
688256.SH,20260325,690.72,712.11,685.99,696.75,689.71,7.039999999999964,1.02,89713.88,9359463.115
688256.SH,20260326,697.42,716.66,682.79,687.3,696.75,-9.450000000000045,-1.36,49947.24,5183511.265
688256.SH,20260327,673.95,696.12,673.95,686.7,687.3,-0.599999999999909,-0.09,50422.57,5154200.457
688256.SH,20260330,673.67,680.66,667.21,676.94,686.7,-9.759999999999991,-1.42,52269.18,5249779.442
688256.SH,20260331,671.31,684.0,659.2,659.2,676.94,-17.74000000000001,-2.62,50753.76,5072933.425
688256.SH,20260401,675.97,713.52,675.97,705.07,659.2,45.870000000000005,6.96,100009.13,10410610.082
688256.SH,20260402,700.78,706.45,668.5,669.92,705.07,-35.15000000000009,-4.99,70914.66,7184207.986
688256.SH,20260403,677.31,697.42,669.93,687.84,669.92,17.920000000000073,2.67,62244.72,6355115.333
688256.SH,20260407,686.02,768.51,684.69,750.4,687.84,62.559999999999945,9.1,140829.0,15532637.045
688256.SH,20260408,777.29,783.92,763.14,780.58,750.4,30.180000000000064,4.02,104832.54,12135960.241
688256.SH,20260409,777.9,819.62,771.86,803.38,780.58,22.799999999999955,2.92,97508.72,11687631.029
688256.SH,20260410,808.07,819.62,797.28,811.9,803.38,8.519999999999982,1.06,90036.52,10839608.534
688256.SH,20260413,806.07,839.99,806.01,817.88,811.9,5.980000000000018,0.74,78791.42,9684560.234
688256.SH,20260414,821.48,837.45,808.8,832.87,817.88,14.990000000000009,1.83,77031.7,9413266.659
688256.SH,20260415,832.89,890.03,830.93,854.35,832.87,21.480000000000018,2.58,124298.88,16061962.461
688256.SH,20260416,858.37,881.84,853.02,876.48,854.35,22.129999999999995,2.59,77964.84,10107382.521
688256.SH,20260417,871.69,904.96,865.08,894.58,876.48,18.100000000000023,2.07,72105.2,9612455.944
688256.SH,20260420,899.28,924.22,889.32,924.22,894.58,29.639999999999986,3.31,75195.83,10224177.313
688256.SH,20260421,912.69,917.46,877.15,891.9,924.22,-32.32000000000005,-3.5,81790.94,10897674.222
688256.SH,20260422,883.85,898.59,877.2,896.59,891.9,4.690000000000055,0.53,68082.09,9042046.567
688256.SH,20260423,895.9,911.96,869.1,887.2,896.59,-9.389999999999986,-1.05,77187.89,10258176.454
688256.SH,20260424,884.95,945.27,859.43,906.99,887.2,19.789999999999964,2.23,124071.44,16760993.798
688256.SH,20260427,905.34,929.45,899.46,909.82,906.99,2.830000000000041,0.31,70932.04,9653255.998
688256.SH,20260428,907.85,951.5,907.85,921.74,909.82,11.919999999999959,1.31,74535.38,10382787.206
688256.SH,20260429,916.04,952.25,903.21,949.99,921.74,28.25,3.06,90860.07,12679634.307
688256.SH,20260430,989.14,1139.99,989.14,1139.99,949.99,190.0,20.0,178842.65,28465682.091
688256.SH,20260506,1196.88,1318.4,1187.63,1223.85,1139.99,83.8599999999999,7.36,197805.25,36853365.889
688256.SH,20260507,1223.81,1264.44,1202.25,1252.68,1223.85,28.830000000000155,2.36,109982.7,20370937.034
688256.SH,20260508,1217.03,1220.0,1158.01,1182.53,1252.68,-70.15000000000009,-5.6,191024.42,22579188.932
688256.SH,20260511,1201.0,1205.99,1158.03,1200.0,1182.53,17.470000000000027,1.48,231721.74,27508753.618
688256.SH,20260512,1199.99,1293.33,1189.81,1277.87,1200.0,77.86999999999989,6.49,209580.58,26179370.124
688256.SH,20260513,1239.0,1316.88,1236.0,1316.88,1277.87,39.01000000000022,3.05,158777.71,20435334.731
688256.SH,20260514,1320.0,1350.0,1232.32,1260.58,1316.88,-56.30000000000018,-4.28,181138.64,23168939.11
688256.SH,20260515,1234.88,1276.89,1195.88,1209.0,1260.58,-51.57999999999993,-4.09,161749.97,19897266.825
688256.SH,20260518,1200.0,1260.0,1183.04,1216.99,1209.0,7.990000000000009,0.66,125056.36,15362333.167
688256.SH,20260519,1216.89,1326.0,1175.0,1319.2,1216.99,102.21000000000004,8.4,186351.94,23213525.76
688256.SH,20260520,1300.0,1396.0,1291.99,1362.41,1319.2,43.210000000000036,3.28,183742.65,25016102.648
688256.SH,20260521,1370.04,1386.0,1285.0,1290.9,1362.41,-71.50999999999999,-5.25,153395.09,20529652.609
688256.SH,20260522,1300.5,1319.99,1270.43,1286.0,1290.9,-4.900000000000091,-0.38,112239.94,14472861.259
688256.SH,20260525,1321.01,1435.0,1321.01,1406.5,1286.0,120.5,9.37,173383.98,24028347.135
688256.SH,20260526,1383.01,1448.01,1375.0,1410.96,1406.5,4.460000000000036,0.32,153974.69,21675499.047
688256.SH,20260527,1385.0,1412.99,1334.0,1340.0,1410.96,-70.96000000000004,-5.03,138029.49,18926941.351
688256.SH,20260528,1361.0,1404.99,1349.01,1391.5,1340.0,51.5,3.84,126717.12,17472983.177
688256.SH,20260529,1400.0,1414.0,1295.0,1310.0,1391.5,-81.5,-5.86,145029.89,19414820.75
688256.SH,20260601,1326.0,1326.0,1238.0,1238.0,1310.0,-72.0,-5.5,134896.09,17200897.814
688256.SH,20260602,1246.0,1319.58,1245.0,1300.0,1238.0,62.0,5.01,124338.95,16088931.664
688256.SH,20260603,1292.3,1428.01,1291.0,1378.1,1300.0,78.09999999999991,6.01,165598.05,22683725.029
688256.SH,20260604,1365.0,1400.0,1347.0,1358.9,1378.1,-19.199999999999818,-1.39,88415.6,12121114.904
688256.SH,20260605,1342.0,1407.77,1287.34,1299.2,1358.9,-59.700000000000045,-4.39,116354.51,15620599.199
688256.SH,20260608,1239.3,1298.88,1230.08,1250.36,1299.2,-48.840000000000146,-3.76,114170.55,14376345.578
688256.SH,20260609,1279.0,1285.8,1239.02,1270.01,1250.36,19.65000000000009,1.57,106731.85,13514130.551
688256.SH,20260610,1300.0,1349.9,1224.17,1231.0,1270.01,-39.00999999999999,-3.07,138327.46,17771830.139
688256.SH,20260611,1221.96,1255.0,1199.0,1219.5,1231.0,-11.5,-0.93,111819.93,13632001.124
688256.SH,20260612,1258.0,1260.0,1202.0,1240.0,1219.5,20.5,1.68,149765.97,18376258.023
688256.SH,20260615,1253.0,1345.99,1238.88,1335.0,1240.0,95.0,7.66,154373.04,20204543.688
688256.SH,20260616,1335.5,1335.91,1297.79,1306.99,1335.0,-28.00999999999999,-2.1,99671.79,13096230.889
688256.SH,20260617,1290.4,1329.87,1271.1,1320.0,1306.99,13.009999999999991,1.0,133225.75,17255115.422
688256.SH,20260618,1319.72,1540.0,1313.2,1507.46,1320.0,187.46000000000004,14.2,221694.16,32153278.755
688256.SH,20260622,1480.0,1494.94,1420.0,1456.99,1507.46,-50.47000000000003,-3.35,150356.73,21882369.235
688256.SH,20260623,1453.0,1506.0,1394.84,1413.0,1456.99,-43.99000000000001,-3.02,138375.63,20001635.53
688256.SH,20260624,1402.0,1468.88,1378.0,1453.0,1413.0,40.0,2.83,140656.44,20184662.912
688256.SH,20260625,1460.0,1536.25,1436.0,1505.0,1453.0,52.0,3.58,159821.84,23799059.014
688256.SH,20260626,1482.0,1518.98,1415.0,1458.0,1505.0,-47.0,-3.12,124352.36,18243658.225
688256.SH,20260629,1462.33,1541.94,1420.0,1482.0,1458.0,24.0,1.65,151177.65,22434932.06
688256.SH,20260630,1488.41,1620.0,1488.37,1595.55,1482.0,113.54999999999995,7.66,162216.28,25487017.441
688256.SH,20260701,1560.0,1588.97,1470.01,1485.33,1595.55,-110.22000000000003,-6.91,125802.4,19179504.251
