trade_date,close,MA5,MA10,MA20,MA60,MA120,RSI,DIF,DEA,MACD,BB_MID,BB_UPPER,BB_LOWER,BB_WIDTH
2025-11-24,1261.9800,1298.3960,1320.0770,1363.7775,1362.8733,,41.9955,-17.9770,-1.0930,-33.7679,1363.7775,1494.1151,1233.4399,19.1142
2025-11-25,1260.0000,1285.0560,1313.0770,1352.8485,1360.7912,,41.8281,-21.7018,-5.2148,-32.9741,1352.8485,1479.2512,1226.4458,18.6869
2025-11-26,1314.6600,1281.5880,1307.9650,1345.5315,1360.5522,,47.9904,-20.0125,-8.1743,-23.6764,1345.5315,1462.1366,1228.9264,17.3322
2025-11-27,1317.3600,1280.6000,1301.2110,1340.2995,1359.6398,,48.2819,-18.2455,-10.1886,-16.1139,1340.2995,1451.7335,1228.8655,16.6282
2025-11-28,1331.0000,1297.0000,1301.8100,1338.0995,1355.3580,,49.8119,-15.5651,-11.2639,-8.6025,1338.0995,1448.3804,1227.8186,16.4832
2025-12-01,1362.4400,1317.0920,1307.7440,1338.8915,1353.1905,,53.2454,-10.7797,-11.1670,0.7747,1338.8915,1449.6559,1228.1271,16.5457
2025-12-02,1328.7300,1330.8380,1307.9470,1338.3480,1351.1962,,49.3472,-9.5967,-10.8530,2.5126,1338.3480,1449.2044,1227.4916,16.5662
2025-12-03,1332.3000,1334.3660,1307.9770,1337.5630,1348.7345,,49.7667,-8.2756,-10.3375,4.1237,1337.5630,1448.3539,1226.7721,16.5661
2025-12-04,1369.0000,1344.6940,1312.6470,1332.0130,1348.1345,,53.9850,-4.2187,-9.1137,9.7901,1332.0130,1421.9117,1242.1143,13.4982
2025-12-05,1355.0000,1349.4940,1323.2470,1328.1380,1350.6845,,52.1847,-2.1090,-7.7128,11.2077,1328.1380,1405.6233,1250.6527,11.6683
2025-12-08,1417.8000,1360.5660,1338.8290,1329.4530,1352.9568,,58.8189,4.5777,-5.2547,19.6648,1329.4530,1412.1813,1246.7247,12.4455
2025-12-09,1436.0000,1382.0200,1356.4290,1334.7530,1356.6772,,60.5281,11.2163,-1.9605,26.3535,1334.7530,1430.2285,1239.2775,14.3061
2025-12-10,1420.8800,1399.7360,1367.0510,1337.5080,1359.8907,,58.3609,15.0834,1.4483,27.2703,1337.5080,1439.6971,1235.3189,15.2805
2025-12-11,1382.0200,1402.3400,1373.5170,1337.3640,1361.7077,,53.0989,14.8414,4.1269,21.4290,1337.3640,1439.2796,1235.4484,15.2413
2025-12-12,1344.0000,1400.1400,1374.8170,1338.3135,1360.9910,,48.4921,11.4497,5.5915,11.7165,1338.3135,1440.0983,1236.5287,15.2109
2025-12-15,1331.9000,1382.9600,1371.7630,1339.7535,1358.3893,,47.0918,7.6967,6.0125,3.3684,1339.7535,1440.2474,1239.2596,15.0018
2025-12-16,1273.9200,1350.5440,1366.2820,1337.1145,1355.6213,,40.9846,0.0434,4.8187,-9.5506,1337.1145,1441.7388,1232.4902,15.6493
2025-12-17,1315.6000,1329.4880,1364.6120,1336.2945,1353.5463,,46.3691,-2.6284,3.3293,-11.9153,1336.2945,1441.3438,1231.2452,15.7225
2025-12-18,1287.0000,1310.4840,1356.4120,1334.5295,1350.9630,,43.4403,-6.9732,1.2688,-16.4839,1334.5295,1441.7330,1227.3260,16.0661
2025-12-19,1268.0000,1295.2840,1347.7120,1335.4795,1348.4132,,41.5621,-11.8134,-1.3476,-20.9315,1335.4795,1439.7894,1231.1696,15.6213
2025-12-22,1284.7700,1285.8580,1334.4090,1336.6190,1347.3387,,43.8689,-14.1332,-3.9048,-20.4569,1336.6190,1438.0051,1235.2329,15.1705
2025-12-23,1336.0200,1298.2780,1324.4110,1340.4200,1346.3057,1142.1761,50.3228,-11.7013,-5.4641,-12.4745,1340.4200,1435.1960,1245.6440,14.1412
2025-12-24,1326.2000,1300.3980,1314.9430,1340.9970,1345.9027,1148.5361,49.1565,-10.4461,-6.4605,-7.9712,1340.9970,1435.2518,1246.7422,14.0574
2025-12-25,1319.4100,1306.8800,1308.6820,1341.0995,1344.9928,1154.9887,48.3226,-9.8852,-7.1454,-5.4795,1341.0995,1435.2504,1246.9486,14.0409
2025-12-26,1303.8900,1314.0580,1304.6710,1339.7440,1343.6128,1161.2936,46.3856,-10.5711,-7.8306,-5.4812,1339.7440,1435.2776,1244.2104,14.2615
